Name,Company directorships and controlling interests,Other companies and business entities,Employment,Beneficial interests in and trusteeships of trusts,Organisations and trusts seeking Government funding,Real property,Retirement schemes,Managed investment schemes,Debts owed to you,Debts owed by you,Overseas travel costs,Gifts,null,Payment for activities
Anae Neru Leavasa,"VO2 Health Care Limited - providing healthcare services","The a2 Milk Company Limited - dairy|Air New Zealand Limited - aviation|Fonterra Shareholders Fund - dairy|Genesis Energy Limited - energy|NZ Windfarms Limited - energy|Tesla Incorporated - automobiles|The Warehouse Group Limited - general merchandise and apparel retailer","","","VO2 Health Care Limited - providing healthcare services","Family home (jointly owned) - Auckland","KiwiSaver - Medical Assurance Society","Australian Resources Exchange Traded Fund - Smartshares Limited|Australian Top 20 Exchange Traded Fund - Smartshares Limited|Emerging Markets Exchange Traded Fund - Smartshares Limited|Europe Exchange Traded Fund - Smartshares Limited|NZ Bond Exchange Traded Fund - Smartshares Limited|NZ Property Exchange Traded Fund - Smartshares Limited|NZ Top 50 Exchange Traded Fund - Smartshares Limited|US 500 Exchange Traded Fund - Smartshares Limited","","AIA New Zealand (formerly Sovereign) - mortgage","","","",""
Melissa Lee,"","","","","Asia New Zealand Foundation - promotes understanding of Asia in New Zealand","Family home - Auckland|Rental property (owned by superannuation scheme) - Wellington","Chul Ssinjin Superannuation Scheme","","","ANZ Bank - mortgage","Republic of Korea - International Korean Politicians Forum. Contributor to travel|and accommodation: Government of the Republic of Korea (OKF - Overseas|Korean Foundation).","Hospitality, miscellaneous souvenirs - Government of the Republic of Korea|Ticket and hospitality for Cyber Security Summit NZ - NZ Tech & Brightstar|Tablet - Samsung Korea|Ticket to All Whites football match - ANZ Bank","",""
Steph Lewis,"","","","Red's Family Trust (beneficiary)","","Family home (jointly owned) - Gonville, Whanganui|House (owned by Red's Family Trust) - South Taranaki","Kiwi Wealth KiwiSaver","","","KiwiBank - mortgage","","","",""
Andrew Little,"","","","","","Family home (jointly owned) - Wellington","Kiwi Wealth KiwiSaver|AMP Personal Superannuation Scheme","","","ANZ Bank - mortgage","","Carved tewhatewha - James Rickard","",""
Jan Logie,"","","","","","Family home - Cannons Creek","AMP KiwiSaver","","","Bank of New Zealand - mortgage and personal loan","","","",""
Anna Lorck,"Attn! Communications Limited - marketing, public relations, and publishing|services","Port of Napier - port company","Attn! Communications Limited - marketing communications","The Tabitha Trust (trustee and beneficiary)","","Family property and lifestyle block - Hastings","Booster KiwiSaver","","","ANZ Bank - mortgage","","","",""
Marja Lubeck,"Max 433 Trust - trustee company","","","Max 433 Trust (trustee and beneficiary)|Shane Eyton Family Trust (beneficiary)","","Family home (owned by trust) - Rodney, Auckland|Rental property (owned by trust) - Auckland","SuperLife IRIS Super Plan","","","","","","",""
Christopher Luxon,"","","","","","Residential properties (x2) - Auckland|Residential property - Wellington|Investment properties (x4) - Auckland","Westpac KiwiSaver|AMP KiwiSaver|Australian Retirement Trust Super Savings|Unicare Savings Plan","","ANZ Bank - bank deposits","","","Hospitality (for five games) - NZ Rugby|Hospitality (for two matches) - Tennis Auckland|Case of wine - Gibbston Valley Winery","",""
Jo Luxton,"LFamily Limited - hair salon|Headstart Early Learning Centre Limited (not trading)","","","","","Family home (jointly owned) - Timaru|Family home (jointly owned) - Ashburton|Holiday home (jointly owned) - Akaroa","Booster KiwiSaver","","","Bank of New Zealand - home mortgages (x2)|Bank of New Zealand - business loan","","","",""
Nanaia Mahuta,"","","","Sir Robert Mahuta Foundation Trust (trustee)|Mahuta Whānau Trust (beneficiary)","","Family home - Ngāruawāhia|Rental property - Hamilton","AMP Personal Superannuation Scheme|Fisher Funds KiwiSaver","","","Westpac Trust - mortgage","","Tickets and hospitality (x2) for women's Rugby World Cup finals - Westpac|Trust","",""
Kieran McAnulty,"","","","","","Family home (owned by superannuation scheme) - Masterton","Go the Bush private superannuation scheme|Kiwi Wealth KiwiSaver","","","Westpac Bank - mortgage","","","",""
Todd McClay,"","","","McClay Family Trust (trustee and beneficiary)","Rotorua Community Youth Centre Trust - oversees Rotorua Youth Centre and|youth-related health and vocational training","Private homes (x2) - Rotorua|Private home - Pukehina|Home - Belgium","ANZ KiwiSaver|T&N McClay Superannuation Scheme","","","Westpac Bank - mortgage","","","",""
James McDowall,"","","","","The South Auckland Performing Arts Competitions Society Incorporated - annual|performing arts competition (registered charity)","Family home (jointly owned) - Hamilton","SuperLife KiwiSaver - Smartshares Limited","","","ANZ Bank - mortgage","","","",""
