Title,Subtitle,DateTime
MOTIONS,Iranian Affairs—Women's Rights,2022-10-27 14:03:50
REPORTS,"Briefing on Disarmament—Report of the Foreign Affairs, Defence and Trade Committee",2022-10-27 15:00:10
COVID-19 ORDERS,Approval,2022-10-26 20:24:58
URGENT DEBATES DECLINED,Education—Release of results from NCEA literacy and numeracy pilot,2022-10-25 15:07:46
RESIGNATIONS,"Dr Gaurav Sharma, Hamilton West",2022-10-19 14:01:05
MOTIONS,APRA Silver Scroll Awards 2022—Congratulations,2022-10-19 14:02:35
URGENT DEBATES,Oranga Tamariki—Murder of Malachi Subecz,2022-10-19 15:10:11
URGENT DEBATES,Health—Death of a patient at Middlemore Hospital,2022-10-18 15:11:58
RESIGNATIONS,"Rt Hon Trevor Mallard, New Zealand Labour ",2022-09-29 14:01:27
SPECIAL DEBATES,Migrant Exploitation Inquiry—Report of the Education and Workforce Committee,2022-09-29 14:47:39
VISITORS,New South Wales—Legislative Assembly,2022-09-28 14:01:18
MOTIONS,Māori Fisheries Settlement—30th Anniversary,2022-09-22 14:01:03
MOTIONS,Standing Orders—Queen Elizabeth II Memorial Day,2022-09-22 14:57:34
PERSONAL EXPLANATIONS,Debate—Reflections on Members' Families,2022-09-21 19:53:21
VISITORS,"Malaysia—Parliament, Delegation",2022-09-20 14:01:06
URGENT DEBATES DECLINED,COVID-19—Reasons for Northland Alert Level 3 in 2021,2022-09-20 14:58:34
OBITUARIES,Mikhail Gorbachev,2022-09-01 14:00:54
ESTIMATES DEBATE,In Committee,2022-09-01 15:07:39
ESTIMATES DEBATE,In Committee,2022-08-30 14:52:14
APPOINTMENTS,Deputy Speaker,2022-08-25 14:04:14
SPEAKER'S STATEMENTS,Dr Gaurav Sharma—Change of Parliamentary Membership,2022-08-23 14:01:06
VISITORS,United States of America—Council of Young Political Leaders Exchange,2022-08-23 14:01:33
OBITUARIES,Sir Toby Curtis,2022-08-23 14:02:11
MOTIONS,Oral Questions—Leave Declined,2022-08-23 15:11:07
URGENT DEBATES DECLINED,Kiwibank—Public Ownership,2022-08-23 15:11:54
ESTIMATES DEBATE,In Committee,2022-08-23 15:14:32
STANDING ORDERS,Sessional,2022-08-23 21:06:50
VISITORS,Latvia—Foreign Minister,2022-08-10 14:01:03
SPEAKER'S RULINGS,Written Questions—Overdue Replies,2022-08-10 14:01:25
ESTIMATES DEBATE,In Committee,2022-08-10 16:12:48
MOTIONS,New Zealand Commonwealth Games Team 2022—Congratulations,2022-08-09 14:00:55
APPOINTMENTS,Assistant Speakers,2022-08-09 15:12:45
VOTING,Correction—Three Strikes Legislation Repeal Bill,2022-08-03 12:29:03
SPECIAL DEBATES,"Petitions Committee, Report—Petition of Citizens Advice Bureau New Zealand: Leave no-one behind – Campaign to address digital exclusion ",2022-07-28 14:58:20
AMENDED ANSWERS TO ORAL QUESTIONS,Question No. 4 to Minister,2022-07-28 15:19:10
SPECIAL DEBATES,"Petitions Committee, Report—Petition of Citizens Advice Bureau New Zealand: Leave no-one behind – Campaign to address digital exclusion",2022-07-28 15:19:45
VOTING,Correction—Data and Statistics Bill,2022-07-28 12:53:43
MINISTERIAL STATEMENT,Myanmar—Executions by Military Regime,2022-07-27 14:00:55
BY-ELECTION,New Zealand Labour—Daniel Rosewarne,2022-07-26 14:00:49
OBITUARIES,Hon Bruce Windsor Cliffe ,2022-07-26 14:02:50
URGENT DEBATES DECLINED,School Truancy—Release of Attendance Data,2022-07-26 15:09:23
PARLIAMENTARY SERVICE COMMISSION,Membership,2022-06-30 14:52:53
OBITUARIES,William Rex Austin MBE,2022-06-22 11:52:08
COVID-19 PUBLIC HEALTH RESPONSE ACT 2020,Continuation,2022-06-28 17:05:10
COVID-19 ORDERS,Approval,2022-06-28 17:20:37
VOTING,Correction—Approval of COVID-19 Orders,2022-06-28 19:14:47
STANDING ORDERS,Sessional,2022-06-22 15:58:12
OBITUARIES,Richard Prosser,2022-06-21 14:01:08
RESIGNATIONS,"Hon Kris Faafoi, New Zealand Labour",2022-06-21 14:02:19
AMENDED ANSWERS TO ORAL QUESTIONS,"Question No. 7 to Minister, 8 June 2022",2022-06-21 14:05:17
MOTIONS,"New Zealand Nuclear Free Zone, Disarmament, and Arms Control Act 1987—35th Anniversary",2022-06-08 14:00:54
MOTIONS,Her Majesty Queen Elizabeth II—Platinum Jubilee,2022-06-07 14:07:41
COVID-19 ORDERS,Approval,2022-06-07 15:11:50
SPECIAL DEBATE,Inquiry into school attendance—Report of the Education and Workforce Committee,2022-06-02 14:49:10
VISITORS,Australia—Parliament of Victoria,2022-05-31 14:01:31
OBITUARIES,Hon Stanley (Stan) Joseph Rodger,2022-05-31 14:02:01
BUDGET STATEMENT,Second Reading,2022-05-19 14:05:37
MINISTERIAL STATEMENTS,Climate Change Response Act 2002—Statutory Emissions Reduction Plan,2022-05-17 14:02:31
COVID-19 ORDERS,Approval,2022-05-17 15:20:29
OBITUARIES,Hon Dr Richard Worth,2022-05-12 14:01:00
SPECIAL DEBATES,Inquiry on the Natural and Built Environments Bill—Report of the Environment Committee,2022-05-12 09:00:30
VOTING,Correction—Crown Pastoral Land Reform Bill,2022-05-11 15:04:13
APPOINTMENTS,Clerk of the House of Representatives,2022-05-10 14:01:28
SPEAKER'S STATEMENTS,"Chamber, Lobbies, and Galleries—Members, Mask Exemption",2022-05-10 14:03:36
OFFICES OF PARLIAMENT,Address to Governor-General,2022-05-10 15:12:06
